3719.61224704	1.03915e-15
3723.55921224	1.03352e-15
3727.50617744	1.05355e-15
3731.45314264	1.04021e-15
3735.39041014	1.05661e-15
3739.33737534	1.05475e-15
3743.28434054	1.06673e-15
3747.23130574	1.05359e-15
3751.17827094	1.05512e-15
3755.12523614	1.06376e-15
3759.06250364	1.06621e-15
3763.00946884	1.06662e-15
3766.95643404	1.07006e-15
3770.90339924	1.07837e-15
3774.85036444	1.09360e-15
3778.79732964	1.09193e-15
3782.74429484	1.09044e-15
3786.68156234	1.10359e-15
3790.62852754	1.11363e-15
3794.57549274	1.11555e-15
3798.52245794	1.11779e-15
3802.46942314	1.13044e-15
3806.41638834	1.12868e-15
3810.35365584	1.12499e-15
3814.30062104	1.10182e-15
3818.24758624	1.08640e-15
3822.19455144	1.10386e-15
3826.14151664	1.15025e-15
3830.08848184	1.16556e-15
3834.02574934	1.15509e-15
3837.97271454	1.17403e-15
3841.91967974	1.17734e-15
3845.86664494	1.18036e-15
3849.81361014	1.19842e-15
3853.76057535	1.18485e-15
3857.69784284	1.21033e-15
3861.64480804	1.22789e-15
3865.59177324	1.20122e-15
3869.53873845	1.21633e-15
3873.48570365	1.20740e-15
3877.43266885	1.18165e-15
3881.36993634	1.14857e-15
3885.31690155	1.12185e-15
3889.26386675	1.15527e-15
3893.21083195	1.22248e-15
3897.15779715	1.23963e-15
3901.10476235	1.22582e-15
3905.04202985	1.21638e-15
3908.98899505	1.19779e-15
3912.93596025	1.18215e-15
3916.88292545	1.16042e-15
3920.82989065	1.14346e-15
3924.77685585	1.11760e-15
3928.71412335	1.12038e-15
3932.66108855	1.10686e-15
3936.60805375	1.09188e-15
3940.55501895	1.07549e-15
3944.50198415	1.09564e-15
3948.44894935	1.14582e-15
3952.38621685	1.12875e-15
3956.33318205	1.10270e-15
3960.28014725	1.10086e-15
3964.22711245	1.09252e-15
3968.17407765	1.10202e-15
3972.12104285	1.08779e-15
3976.05831035	1.09386e-15
3980.00527555	1.08791e-15
3983.95224075	1.09732e-15
3987.89920595	1.10054e-15
3991.84617115	1.10252e-15
3995.79313635	1.07622e-15
3999.74010155	1.08440e-15
4003.67736905	1.09234e-15
4007.62433425	1.08951e-15
4011.57129945	1.10002e-15
4015.51826465	1.08664e-15
4019.46522985	1.06644e-15
4023.41219506	1.07332e-15
4027.34946255	1.07555e-15
4031.29642775	1.12106e-15
4035.24339295	1.13020e-15
4039.19035816	1.12426e-15
4043.13732336	1.11308e-15
4047.08428856	1.11526e-15
4051.02155605	1.10868e-15
4054.96852126	1.10140e-15
4058.91548646	1.08639e-15
4062.86245166	1.07049e-15
4066.80941686	1.07088e-15
4070.75638206	1.07902e-15
4074.69364956	1.07364e-15
4078.64061476	1.07973e-15
4082.58757996	1.06260e-15
4086.53454516	1.08485e-15
4090.48151036	1.07090e-15
4094.42847556	1.07625e-15
4098.36574306	1.08619e-15
4102.31270826	1.08046e-15
4106.25967346	1.07504e-15
4110.20663866	1.08735e-15
4114.15360386	1.08449e-15
4118.10056906	1.08048e-15
4122.03783656	1.09293e-15
4125.98480176	1.09089e-15
4129.93176696	1.10265e-15
4133.87873216	1.10458e-15
4137.82569736	1.10428e-15
4141.77266256	1.12117e-15
4145.70993006	1.11933e-15
4149.65689526	1.12348e-15
4153.60386046	1.11946e-15
4157.55082566	1.10190e-15
4161.49779086	1.10685e-15
4165.44475606	1.11473e-15
4169.38202356	1.11186e-15
4173.32898876	1.10241e-15
4177.27595396	1.09473e-15
4181.22291916	1.08892e-15
4185.16988436	1.07927e-15
4189.11684957	1.07256e-15
4193.06381477	1.06257e-15
4197.00108226	1.05730e-15
4200.94804746	1.06244e-15
4204.89501267	1.05729e-15
4208.84197787	1.04741e-15
4212.78894307	1.04900e-15
4216.73590827	1.04670e-15
4220.67317577	1.04433e-15
4224.62014097	1.05186e-15
4228.56710617	1.03703e-15
4232.51407137	1.02760e-15
4236.46103657	1.03628e-15
4240.40800177	1.03977e-15
4244.34526927	1.04495e-15
4248.29223447	1.03477e-15
4252.23919967	1.04289e-15
4256.18616487	1.03805e-15
4260.13313007	1.06099e-15
4264.08009527	1.05815e-15
4268.01736277	1.07569e-15
4271.96432797	1.09485e-15
4275.91129317	1.08352e-15
4279.85825837	1.08094e-15
4283.80522357	1.06929e-15
4287.75218877	1.07049e-15
4291.68945627	1.08030e-15
4295.63642147	1.07708e-15
4299.58338667	1.05168e-15
4303.53035187	1.05397e-15
4307.47731707	1.03964e-15
4311.42428227	1.04668e-15
4315.36154977	1.04591e-15
4319.30851497	1.04143e-15
4323.25548017	1.03552e-15
4327.20244537	1.02415e-15
4331.14941057	1.01962e-15
4335.09637577	1.01834e-15
4339.03364327	1.00907e-15
4342.98060847	1.00376e-15
4346.92757367	9.93961e-16
4350.87453887	1.00473e-15
4354.82150407	1.01444e-15
4358.76846928	1.03422e-15
4362.71543448	1.02990e-15
4366.65270197	1.02779e-15
4370.59966717	1.02619e-15
4374.54663238	1.02132e-15
4378.49359758	1.01285e-15
4382.44056278	1.01585e-15
4386.38752798	1.00955e-15
4390.32479548	1.01077e-15
4394.27176068	1.01861e-15
4398.21872588	1.04257e-15
4402.16569108	1.04199e-15
4406.11265628	1.03198e-15
4410.05962148	1.02754e-15
4413.99688898	1.00703e-15
4417.94385418	9.95011e-16
4421.89081938	1.00054e-15
4425.83778458	1.01789e-15
4429.78474978	1.01235e-15
4433.73171498	1.01413e-15
4437.66898248	1.02012e-15
4441.61594768	1.02003e-15
4445.56291288	1.02577e-15
4449.50987808	1.02387e-15
