 0.3223508D+04 0.1049102D-16
 0.3227035D+04 0.1049102D-16
 0.3230561D+04 0.2771721D-16
 0.3234088D+04 0.1250673D-16
 0.3237615D+04 0.1908014D-16
 0.3241141D+04 0.1899837D-16
 0.3244668D+04 0.1518278D-16
 0.3248195D+04 0.2971314D-16
 0.3251722D+04 0.6218072D-16
 0.3255248D+04 0.4043455D-17
 0.3258775D+04 0.1867609D-16
 0.3262302D+04 0.2190370D-16
 0.3265828D+04-0.3678382D-17
 0.3269355D+04-0.1552705D-16
 0.3272882D+04-0.7828778D-17
 0.3276408D+04 0.4694044D-17
 0.3279935D+04 0.1382729D-16
 0.3283462D+04 0.7565403D-17
 0.3286988D+04 0.1921511D-16
 0.3290515D+04 0.7611239D-17
 0.3294042D+04 0.2391109D-16
 0.3297569D+04 0.2340189D-16
 0.3301095D+04 0.2054004D-16
 0.3304622D+04 0.7557749D-17
 0.3308149D+04 0.2958184D-16
 0.3311675D+04 0.7712367D-17
 0.3315202D+04 0.1541909D-16
 0.3318729D+04 0.1242789D-16
 0.3322255D+04 0.1652986D-16
 0.3325782D+04 0.1597060D-16
 0.3329309D+04 0.4173398D-17
 0.3332835D+04 0.3126308D-18
 0.3336362D+04 0.1442628D-16
 0.3339889D+04 0.1276840D-16
 0.3343416D+04 0.1207132D-16
 0.3346942D+04 0.1844848D-16
 0.3350469D+04 0.1284858D-16
 0.3353996D+04 0.2401180D-16
 0.3357522D+04 0.1981544D-16
 0.3361049D+04-0.6672512D-17
 0.3364576D+04-0.8158979D-17
 0.3368102D+04 0.3755486D-17
 0.3371629D+04 0.1740440D-16
 0.3375156D+04 0.1951612D-16
 0.3378682D+04 0.2709993D-16
 0.3382209D+04 0.1951598D-16
 0.3385736D+04 0.2119394D-16
 0.3389263D+04 0.1096182D-16
 0.3392789D+04 0.8771876D-17
 0.3396316D+04 0.5049598D-17
 0.3399843D+04 0.8676528D-17
 0.3403369D+04 0.3642326D-16
 0.3406896D+04 0.3065944D-16
 0.3410423D+04 0.1166231D-16
 0.3413949D+04 0.1537194D-16
 0.3417476D+04 0.2054473D-16
 0.3421003D+04 0.1332493D-16
 0.3424529D+04 0.2509562D-16
 0.3428056D+04 0.2522824D-16
 0.3431583D+04 0.2612112D-16
 0.3435110D+04 0.1300982D-16
 0.3438636D+04 0.1665151D-16
 0.3442163D+04 0.9561971D-17
 0.3445690D+04 0.3103255D-17
 0.3449216D+04 0.1352818D-16
 0.3452743D+04 0.1517070D-16
 0.3456270D+04 0.2142496D-16
 0.3459796D+04 0.2481534D-16
 0.3463323D+04 0.2454718D-16
 0.3466850D+04 0.2800930D-16
 0.3470376D+04 0.1108912D-16
 0.3473903D+04 0.2359033D-16
 0.3477430D+04 0.1635208D-16
 0.3480957D+04 0.1764566D-16
 0.3484483D+04 0.1733143D-16
 0.3488010D+04 0.8190425D-17
 0.3491537D+04 0.1058189D-16
 0.3495063D+04 0.2386298D-16
 0.3498590D+04 0.1758678D-16
 0.3502117D+04 0.1860015D-16
 0.3505643D+04 0.2252947D-16
 0.3509170D+04 0.2211263D-16
 0.3512697D+04 0.1983505D-16
 0.3516223D+04 0.2315957D-16
 0.3519750D+04 0.2419236D-16
 0.3523277D+04 0.1173798D-16
 0.3526804D+04 0.1603946D-16
 0.3530330D+04 0.1098967D-16
 0.3533857D+04 0.4818331D-17
 0.3537384D+04 0.2743950D-16
 0.3540910D+04 0.2761887D-16
 0.3544437D+04 0.3801088D-16
 0.3547964D+04 0.3457350D-16
 0.3551490D+04 0.2689118D-16
 0.3555017D+04 0.3746818D-16
 0.3558544D+04 0.2434881D-16
 0.3562070D+04 0.2636278D-16
 0.3565597D+04 0.2958903D-16
 0.3569124D+04 0.3256418D-16
 0.3572651D+04 0.3274887D-16
 0.3576177D+04 0.3334105D-16
 0.3579704D+04 0.2991324D-16
 0.3583231D+04 0.3541241D-16
 0.3586757D+04 0.2552711D-16
 0.3590284D+04 0.1682281D-16
 0.3593811D+04 0.1807458D-16
 0.3597337D+04 0.2159541D-16
 0.3600864D+04 0.1852261D-16
 0.3604391D+04 0.2521954D-16
 0.3607917D+04 0.3223480D-16
 0.3611444D+04 0.2337587D-16
 0.3614971D+04 0.2083784D-16
 0.3618498D+04 0.1096876D-16
 0.3622024D+04 0.3403617D-16
 0.3625551D+04 0.2744457D-16
 0.3629078D+04 0.1424909D-16
 0.3632604D+04 0.2615711D-16
 0.3636131D+04 0.2642256D-16
 0.3639658D+04 0.2300506D-16
 0.3643184D+04 0.2181386D-16
 0.3646711D+04 0.2829219D-16
 0.3650238D+04 0.2491057D-16
 0.3653764D+04 0.2619769D-16
 0.3657291D+04 0.2555495D-16
 0.3660818D+04 0.2442070D-16
 0.3664345D+04 0.2487991D-16
 0.3667871D+04 0.3714472D-16
 0.3671398D+04 0.4308460D-16
 0.3674925D+04 0.3169030D-16
 0.3678451D+04 0.2543987D-16
 0.3681978D+04 0.2875656D-16
 0.3685505D+04 0.3023279D-16
 0.3689031D+04 0.3671343D-16
 0.3692558D+04 0.3375848D-16
 0.3696085D+04 0.4158022D-16
 0.3699611D+04 0.4207726D-16
 0.3703138D+04 0.3763589D-16
 0.3706665D+04 0.3168667D-16
 0.3710192D+04 0.3148146D-16
 0.3713718D+04 0.2945869D-16
 0.3717245D+04 0.3197377D-16
 0.3720772D+04 0.2973200D-16
 0.3724298D+04 0.3672983D-16
 0.3727825D+04 0.4255539D-16
 0.3731352D+04 0.4439910D-16
 0.3734878D+04 0.3717441D-16
 0.3738405D+04 0.3585091D-16
 0.3741932D+04 0.2718520D-16
 0.3745458D+04 0.5445952D-16
 0.3748985D+04 0.3891366D-16
 0.3752512D+04 0.2902963D-16
 0.3756039D+04 0.3066277D-16
 0.3759565D+04 0.2026723D-16
 0.3763092D+04 0.2887635D-16
 0.3766619D+04 0.2581060D-16
 0.3770145D+04 0.1994875D-16
 0.3773672D+04 0.1957934D-16
 0.3777199D+04 0.1336454D-16
 0.3780725D+04 0.1441166D-16
 0.3784252D+04 0.7006950D-17
 0.3787779D+04 0.9579902D-17
 0.3791305D+04 0.1041244D-16
 0.3794832D+04 0.7756401D-17
 0.3798359D+04 0.1173992D-16
 0.3801886D+04 0.1575338D-16
 0.3805412D+04 0.5991332D-17
 0.3808939D+04 0.2780244D-17
 0.3812466D+04 0.6079293D-17
 0.3815992D+04 0.9587807D-17
