      3354.65  6.74779e-16  5.54384e-16
      3359.39  8.24730e-16  5.35460e-16
      3364.14  4.59083e-16  5.02150e-16
      3368.89  6.10868e-16  4.83569e-16
      3373.64  1.66722e-16  4.57941e-16
      3378.41  6.01591e-16  4.47235e-16
      3383.17  8.67988e-16  4.35169e-16
      3387.94  1.28821e-16  4.07452e-16
      3392.72  4.86950e-16  3.98781e-16
      3397.50  5.69782e-16  3.83474e-16
      3402.29  7.19165e-16  3.75048e-16
      3407.09  5.20751e-16  3.55416e-16
      3411.89  5.86156e-16  3.47085e-16
      3416.69  6.51865e-17  3.24334e-16
      3421.50  3.79366e-16  3.19091e-16
      3426.31  4.35014e-16  3.08972e-16
      3431.13  7.76639e-16  3.08831e-16
      3435.96  5.38818e-16  2.93406e-16
      3440.79  7.23287e-16  2.88041e-16
      3445.63  7.21438e-16  2.81850e-16
      3450.47  5.36261e-16  2.69392e-16
      3455.32  6.92901e-16  2.64937e-16
      3460.17  5.39223e-16  2.55191e-16
      3465.03  1.10771e-15  2.52628e-16
      3469.89  8.48360e-16  2.45723e-16
      3474.76  9.03351e-16  2.41139e-16
      3479.63  9.08863e-16  2.33427e-16
      3484.51  1.08829e-15  2.29429e-16
      3489.39  8.83787e-16  2.20711e-16
      3494.28  5.84449e-16  2.11029e-16
      3499.17  8.97688e-16  2.11501e-16
      3504.07  8.33029e-16  2.04770e-16
      3508.97  1.06001e-15  2.02960e-16
      3513.88  9.03228e-16  1.95717e-16
      3518.80  9.41441e-16  1.89866e-16
      3523.72  9.93900e-16  1.84966e-16
      3528.64  9.86229e-16  1.80512e-16
      3533.57  9.06630e-16  1.74130e-16
      3538.50  8.13921e-16  1.68212e-16
      3543.44  7.14342e-16  1.63771e-16
      3548.39  8.23365e-16  1.62523e-16
      3553.34  1.09054e-15  1.63055e-16
      3558.29  9.60103e-16  1.57439e-16
      3563.25  1.00518e-15  1.55613e-16
      3568.21  1.06317e-15  1.54588e-16
      3573.18  9.67138e-16  1.48505e-16
      3578.16  8.68562e-16  1.43193e-16
      3583.14  8.19587e-16  1.39632e-16
      3588.12  9.79517e-16  1.38891e-16
      3593.11  9.06225e-16  1.35575e-16
      3598.10  1.01010e-15  1.34262e-16
      3603.10  1.08910e-15  1.32649e-16
      3608.11  1.08137e-15  1.30396e-16
      3613.11  1.15764e-15  1.28126e-16
      3618.13  1.19507e-15  1.26599e-16
      3623.15  1.18572e-15  1.24235e-16
      3628.17  1.06806e-15  1.19334e-16
      3633.20  1.11985e-15  1.17151e-16
      3638.23  1.23236e-15  1.17014e-16
      3643.27  1.15282e-15  1.13648e-16
      3648.31  1.04847e-15  1.10366e-16
      3653.36  1.12578e-15  1.08679e-16
      3658.41  9.98529e-16  1.04828e-16
      3663.46  9.91150e-16  1.03420e-16
      3668.53  7.83803e-16  9.76381e-17
      3673.59  9.43055e-16  9.81924e-17
      3678.66  8.76309e-16  9.50850e-17
      3683.74  7.41354e-16  9.11621e-17
      3688.82  7.31351e-16  8.99700e-17
      3693.90  7.45675e-16  8.85054e-17
      3698.99  7.09645e-16  8.63668e-17
      3704.09  7.46047e-16  8.43056e-17
      3709.18  7.94598e-16  8.31764e-17
      3714.29  7.15489e-16  8.15040e-17
      3719.40  7.30240e-16  8.04601e-17
      3724.51  7.16687e-16  7.92642e-17
      3729.62  7.62158e-16  7.81488e-17
      3734.75  7.60360e-16  7.66647e-17
      3739.87  7.17288e-16  7.48681e-17
      3745.00  6.39896e-16  7.30136e-17
      3750.14  7.39403e-16  7.28055e-17
      3755.28  7.98507e-16  7.23241e-17
      3760.42  8.15006e-16  7.07338e-17
      3765.57  9.21914e-16  7.09434e-17
      3770.73  9.84282e-16  7.00041e-17
      3775.88  9.15599e-16  6.82208e-17
      3781.05  9.71511e-16  6.82082e-17
      3786.21  1.00462e-15  6.71680e-17
      3791.38  1.00731e-15  6.59795e-17
      3796.56  1.03103e-15  6.47868e-17
      3801.74  1.08278e-15  6.47959e-17
      3806.93  9.85091e-16  6.31056e-17
      3812.11  9.08546e-16  6.10046e-17
      3817.31  9.30805e-16  6.09315e-17
      3822.51  8.89706e-16  5.93405e-17
      3827.71  9.85904e-16  5.89146e-17
      3832.91  9.24525e-16  5.72714e-17
      3838.13  9.03179e-16  5.70570e-17
      3843.34  9.61760e-16  5.70213e-17
      3848.56  1.02092e-15  5.70413e-17
      3853.78  1.08111e-15  5.69608e-17
      3859.01  1.12642e-15  5.66231e-17
      3864.24  1.04173e-15  5.48964e-17
      3869.48  1.14646e-15  5.50889e-17
      3874.72  1.23254e-15  5.48661e-17
      3879.97  1.25456e-15  5.45277e-17
      3885.22  1.25383e-15  5.74325e-17
      3890.47  1.35267e-15  5.38453e-17
      3895.73  1.35979e-15  5.33070e-17
      3900.99  1.30947e-15  5.21272e-17
      3906.26  1.34391e-15  5.18645e-17
      3911.53  1.37749e-15  5.15899e-17
      3916.80  1.33535e-15  5.10573e-17
      3922.08  1.41341e-15  5.13110e-17
      3927.37  1.41989e-15  5.07973e-17
      3932.65  1.37670e-15  4.99651e-17
      3937.94  1.57846e-15  5.16873e-17
      3943.24  1.45298e-15  5.01951e-17
      3948.54  1.49357e-15  5.03602e-17
      3953.84  1.51562e-15  5.01683e-17
      3959.15  1.53091e-15  4.99694e-17
      3964.46  1.52041e-15  4.92631e-17
      3969.78  1.62090e-15  4.97793e-17
      3975.10  1.57190e-15  4.87967e-17
      3980.42  1.64441e-15  4.88456e-17
      3985.75  1.58642e-15  4.83544e-17
      3991.08  1.60096e-15  4.77502e-17
