Name|RA (J2000)|Dec (J2000)|Discovery Date (UT) |Discovery Mag (r)|Spectrum Date (UT)|Redshift|Type|Phase|Notes
DES15E1kwg |00:36:33.80|-43:29:14.2 |2015 Oct 10| 22.7    |2015 Oct 11 (SALT), 2015 Oct 11 (AAT)| 0.1049 |  Ia  | at max | a,b
DES15X3kqv |02:27:05.05|-05:00:11.1 |2015 Sep 21| 22.2    |2015 Oct 04 (SALT), 2015 Oct 11 (AAT)| 0.1421 |  Ia  | at max | a,b

DES15S2nr  |02:40:44.62|-00:53:26.4 |2015 Aug 17| 21.7    |2015 Sep 18 (VLT), 2015 Sep 21 (AAT)| 0.220  |SLSN-I|pre-peak| a

DES14C3mpt |03 33 12.20|-28 01 29.5 |2014 Nov 12|24.3   |2014 Dec 19|0.3339  | Ia   |+14   |
DES14E1rph |00 27 25.54|-42 51 01.5 |2014 Dec 11|20.9   |2014 Dec 30|0.1054  | Ia   |+7    |

DES14C2gwx |03 33 35.18|-29 11 26.3 |2014 Oct 12|22.4   |2014 Oct 29|0.198   | Ia   |+2    |
DES14C3cwp |03 27 10.88|-27 49 19.6 |2014 Sep 19|23.7   |2014 Oct 29|0.279   | Ia   |+17   |
DES14C3foo |03 28 09.10|-27 31 58.5 |2014 Oct 01|23.1   |2014 Oct 29|0.338   | Ia   |+11   |
DES14X1qt  |02 16 51.50|-04 09 15.2 |2014 Aug 20|21.7   |2014 Oct 30|0.139   | II   |>+62  |1
DES14X2dm  |02 23 29.96|-06 38 16.1 |2014 Aug 17|20.6   |2014 Oct 28|0.196   | II   |>+60  |1
DES14X3ftq |02 26 39.29|-04 58 14.7 |2014 Oct 05|23.4   |2014 Oct 28|0.35    | Ia   |+7    |

DES14S2bnq |02 43 40.05|-00 45 43.0 |2014 Sep 14|22.6   |2014 Sep 30|0.18531 | Ia   |Peak   |

DES14E1anf   | 00 33 56.13  | -43 20 59.1  | 2014 Sep 02         |  21.6           | 2014 Sep 17,18,19,20| 0.149    | Type Ia |  +2-5 |
DES14E1tb    | 00 28 48.01  | -43 33 44.2  | 2014 Aug 15         |  22.9           | 2014 Sep 17,18,20   | 0.37     | Type Ia |  ~+10 | (1)
DES14E2u     | 00 37 51.13  | -43 43 17.2  | 2014 Aug 17         |  23.0           | 2014 Sep 17,19      | 0.292    | Type Ia |  ~+15 | (1,2)
DES14X2ags   | 02 24 00.58  | -06 29 51.8  | 2014 Sep 03         |  21.6           | 2014 Sep 18         | 0.30     | Type Ia |  +3   |
DES14S2qb    | 02 43 59.72  | -00 54 22.1  | 2014 Aug 20         |  22.1           | 2014 Sep 18         | 0.24     | Type Ia |  +20  |

DES13X3woy   | 02 24 28.72  | -04 58 02.3  | 2013 Dec 01  |  22.2      | 2013 Dec 26 | 0.31      | I       | -     | Matches a SN Ibc at maximum light or a Ia two weeks after max.

DES13E1sae   | 00 30 24.38  | -42 17 53.7  | 2013 Nov 05  |  21.6      | 2013 Nov 30 | 0.185     | I      |  +5      |(1)
DES13C2jtx   |	03 38 53.40  | -28 46 28.7  | 2013 Sep 27  |  22.2    	| 2013 Nov 30 |	0.223 	  | II	   |  +40     |
DES13X3syi   | 02 25 22.91  | -05 19 27.0  | 2013 Nov 06  |  24.4      | 2013 Nov 29 | 0.306     | Ia     |  ~0      |

DES13C3ui    | 03:26:40.68  | -28:03:55.0  | 2013 Sep 02  | 19.4       | 2013 Sep 29 | 0.064     | II     |  +8      |
DES13E1ao    | 00:29:07.55  | -43:08:27.6  | 2013 Aug 29  | 21.3       | 2013 Oct 30 | 0.172     | Ia     |  +34     |
DES13X3fca   | 02:24:04.15  | -04:21:25.3  | 2013 Sep 11  | 21.5 (g)   | 2013 Oct 30 | 0.099     | II     |  +19     |
DES13E1dcb   | 00:30:58.63  | -42:10:20.2  | 2013 Sep 07  | 22.9       | 2013 Nov 01 | 0.179     | Ia     |  +40     |
DES13X1kae   | 02:15:37.11  | -04:12:33.1  | 2013 Oct 09  | 22.4 (g)   | 2013 Nov 01 | 0.150     | Ia-91T |  +2      | (1)
DES13S1qv    | 02:52:46.53  | -00:07:39.1  | 2013 Aug 31  | 22.5 (g)   | 2013 Nov 01 | 0.187     | Ia     |  +33     |
DES13C2bxd   | 03:38:02.51  | -29:09:25.6  | 2013 Aug 31  | 20.1       | 2013 Nov 01 | 0.039     | Ic     |  +100    | (2)
DES13C1juw   | 03:38:31.04  | -27:02:34.0  | 2013 Oct 01  | 23.3       | 2013 Nov 02 | 0.200     | Ia     |  +15     |

DES15C1atm |03:39:47.21|-26:43:49.4 |2015-08-20 | 23.0 |2015-09-18 | 0.207 | Ia |+2 weeks|
DES15C2aty |03:34:02.03|-28:47:40.6 |2015-08-21 | 22.7 |2015-09-20 | 0.149 | Ia |+2 weeks|
DES15C2eaz |03:40:21.44|-28:40:02.7 |2015-09-11 | 20.0 |2015-09-17 | 0.062 | II | max |
DES15C2dyj |03:40:40.64|-28:42:42.7 |2015-08-31 | 22.6 |2015-09-17 | 0.395 | Ia |+1 week |
DES15C3edd |03:33:10.67|-27:57:28.0 |2015-09-10 | 23.1 |2015-09-20 | 0.36 | Ia | max |
DES15C3fx |03:28:50.86|-28:15:02.7 |2015-08-14 | 23.1 |2015-09-20 | 0.20 | Ia |+3 weeks|
DES15E2atw |00:36:27.73|-43:16:04.3 |2015-08-21 | 22.4 |2015-09-21 | 0.147 | Ia |+1 week |
DES15E2nk |00:37:38.52|-43:55:13.3 |2015-08-17 | 23.9 |2015-09-20 | 0.308 | Ia |+1 week | a
DES15X1bw |02:16:46.84|-04:00:54.4 |2015-08-13 | 19.3 |2015-09-20 | 0.13 | Ia |+5 weeks|
DES15X3auw |02:27:15.17|-05:07:08.7 |2015-08-22 | 22.8 |2015-09-19 | 0.151 | Ia |+2 weeks|
DES15X3dyu |02:25:16.22|-04:39:35.3 |2015-09-12 | 22.7 |2015-09-19 | 0.425 | Ia | max |
DES15X3hp |02:27:42.18|-04:18:53.7 |2015-08-14 | 21.0 |2015-09-19 | 0.236 | Ia |+3 weeks|
DES15S1by |02:49:17.82|-00:44:42.3 |2015-08-14 | 22.0 |2015-09-20 | 0.129 | II |post-max| b
DES15S2dye |02:43:35.22|-01:07:47.7 |2015-08-30 | 23.1 |2015-09-21 | 0.26 | Ia |+1 week |
