Name|RA (J2000)|Dec (J2000)|Discovery Date (UT) |Discovery Mag (r)|Spectrum Date (UT)|Redshift|Type|Phase|Notes
DES15C2oxo |03:41:21.77|-29:08:57.6 |2016 Jan 06|  22.3   |2016 Feb 07|  0.336 |  Ia? |+9 days |a

DES15C3mpk |03:34:38.15|-28:23:52.3 |2015 Nov 13|  22.6   |2015 Dec 12|  0.182 |  Ia  |+10 days|a,best match to 91T
DES15E1nei |00:32:20.08|-43:44:27.0 |2015 Nov 29|  22.5   |2015 Dec 13|  0.313 |  Ia  |   max  |a,best match to 91T
DES15E2nlz |00:35:51.33|-44:40:36.1 |2015 Nov 30|  24.0   |2015 Dec 12|  0.410 |  Ia  |-5 days |
DES15C1nfb |03:37:49.93|-27:01:10.6 |2015 Nov 29|  22.4   |2015 Dec 13|  0.130 |  Ia  |   max  |
DES15C2njv |03:36:29.87|-28:34:11.5 |2015 Nov 30|  21.8   |2015 Dec 14|  0.181 |  Ia  |   max  |
DES15X2nkl |02:23:19.33|-06:31:34.7 |2015 Nov 30|  23.3   |2015 Dec 14|  0.304 |  Ia  |   max  |a
DES15X2mzv |02:21:59.04|-06:29:53.5 |2015 Nov 20|  23.1   |2015 Dec 14|  0.313 |  Ia  |   max  |a
DES15X3nad |02:23:54.34|-04:10:06.6 |2015 Nov 29|  24.2   |2015 Dec 12|  0.100 |  II  |   max  |
DES15X3naa |02:26:58.48|-04:58:03.8 |2015 Nov 29|  23.6   |2015 Dec 12|  0.331 |  Ia  |-4 days |a
DES15C1mqf |03:39:16.47|-27:09:20.2 |2015 Nov 13|  21.6   |2015 Dec 13|  0.111 |  Ia  |+3 weeks|unusual, strong feature at 6400 A (rest-frame), possible Ia-csm.  Encourage follow-up.
DES15C1mvy |03:40:11.30|-26:58:32.2 |2015 Nov 13|  24.3   |2015 Dec 13|  0.320 |  Ia  |   max  |
DES15X2mku |02:20:28.42|-06:05:44.8 |2015 Nov 05|  22.0   |2015 Dec 14|  0.090 |  II  |+1 month|
DES15X2mpm |02:22:25.40|-06:08:59.5 |2015 Nov 05|  24.0   |2015 Dec 14|  0.235 |  Ia  |+2 week |a
DES15X3mpq |02:24:52.26|-03:39:55.3 |2015 Nov 13|  22.4   |2015 Dec 12|  0.188 |  II  |+1 month|a
DES15E1neh |00:26:40.77|-42:57:50.6 |2015 Nov 29|  22.6   |2015 Dec 13|  0.390 |  Ia? |   max  |

DES15S2mpg |02:43:52.74|-01:13:45.4 |2015 Nov 12|  22.1   |2015 Dec 03|  0.186 |  Ia  |  max   |a
DES15S2mpl |02:46:53.90|-01:09:52.4 |2015 Nov 12|  22.2   |2015 Dec 03|  0.257 |  Ia  |+1 week |a
DES15S1lyi |02:48:51.28|-00:09:07.9 |2015 Oct 29|  22.6   |2015 Dec 03|  0.359 |  Ia? |+3 weeks|a
DES15S1mjm |02:51:22.81|-00:38:54.5 |2015 Oct 31|  24.0   |2015 Dec 03|  0.26  |  Ia? |+1 week |

DES15X3lya |02:23:19.50|-04:04:04.2 |2015 Oct 31|  22.8   |2015 Nov 14|  0.29  |  Ia  |  max   |
DES15X2mei |02:25:31.10|-05:52:44.4 |2015 Oct 31|  21.6   |2015 Nov 15|  0.248 |  Ia  |  max   |a
DES15X2lxw |02:23:00.71|-06:15:51.1 |2015 Oct 31|  21.7   |2015 Nov 15|  0.197 |  Ia  | +1 week|a
DES15C2lna |03:39:25.43|-28:48:35.4 |2015 Oct 15|  20.9   |2015 Nov 15|  0.069 |  II  |post-max|a
DES15C2lpp |03:38:43.82|-29:16:03.6 |2015 Oct 15|  22.8   |2015 Nov 15|  0.181 |  II? |post-max|a
DES15E2kvn |00:33:07.19|-44:08:24.4 |2015 Oct 01|  21.5   |2015 Oct 13|  0.208 |  Ia? |  max   |a
DES15X3flq |02:28:32.94|-04:22:22.1 |2015 Sep 25|  21.8   |2015 Oct 13|  0.368 |  Ia? |+10 days|a
DES15S2dyb |02:42:55.93|-01:23:34.5 |2015 Sep 10|  22.3   |2015 Sep 21|  0.56  |  Ia? |+7 days |
DES15S1ebd |02:53:15.93|-00:01:48.2 |2015 Sep 10|  22.7   |2015 Sep 20|  0.408 |  Ia? |  max   |a
DES15S1cj  |02:53:29.43|-00:05:01.6 |2015 Aug 14|  21.6   |2015 Sep 20|  0.166 |  II? |post-max|a
DES15S2og  |02:46:54.05|-01:00:35.8 |2015 Aug 17|  22.9   |2015 Sep 21|  0.38  |  Ia? |post-max|
DES15E2cwm |00:40:42.94|-43:56:54.0 |2015 Aug 30|  22.0   |2015 Sep 21|  0.291 |  Ia? |+10 days|a
DES15C3lvt |03:29:24.60|-28:59:48.2 |2015 Oct 15|  23.8   |2015 Nov 15|  0.400 |  Ia? |post-max|a
DES15C1ebn |03:39:30.55|-27:14:20.4 |2015 Sep 10|  22.2   |2015 Sep 18|  0.41  |  Ia? |  max   |
DES15C3axd |03:28:11.44|-27:51:46.3 |2015 Aug 30|  24.0   |2015 Sep 20|  0.420 |  Ia? |  max   |a
DES15C3bj  |03:34:13.66|-28:14:31.4 |2015 Aug 14|  22.1   |2015 Sep 20|  0.287 |  II? |post-max|a
DES15X1ebs |02:15:10.49|-04:31:20.0 |2015 Sep 12|  23.1   |2015 Sep 20|  0.58  |  Ia? |pre-max |
DES15C1eat |03:34:42.41|-26:29:13.2 |2015 Sep 10|  22.3   |2015 Sep 18|  0.45  |  Ia? |+7 days |
DES15S2ar  |02:45:56.44|-01:38:16.5 |2015 Aug 13|  21.9   |2015 Sep 21|  0.247 |  Ia? |+16 days|a
DES15X2asq |02:24:26.78|-06:37:48.2 |2015 Aug 18|  22.8   |2015 Sep 21|  0.280 |  Ia  |+7 days |a

DES15E1iuh |00:30:33.15|-43:25:54.9 |2015 Sep 21|  22.3   |2015 Sep 30 (VLT), 2015 Oct 11 (AAT)| 0.105  |  II  | at max  |a,b

DES15X3kxu |02:25:03.19|-05:32:30.9 |2015 Oct 01|  23.5   |2015 Oct 10| 0.345  |  Ia  | At max            |
DES15X3itc |02:26:25.58|-04:09:18.6 |2015 Sep 21|  22.9   |2015 Oct 10| 0.338  |  Ia  | +2-5 days post max|
DES15X3iv  |02:23:13.19|-04:31:02.0 |2015 Sep 25|  17.3   |2015 Oct 10| 0.018  |  Ia  | 1 month post max  | a
DES15C3efn |03:30:59.18|-28:10:04.6 |2015 Sep 25|  19.2   |2015 Oct 10| 0.077  |  Ia  | 2 weeks post max  |
DES15E1kvp |00:32:44.90|-43:34:36.9 |2015 Oct 01|  22.0   |2015 Oct 11| 0.442  |  Ia  | At max            |
DES15X1ith |02:17:08.52|-04:17:53.4 |2015 Sep 20|  22.9   |2015 Oct 11| 0.16   |  Ia  | 1 week post max   |

